44.877,9.5413,42.108,4.9734,45.483,5.8369,41.062,6.8815
45.739,9.5413,42.108,5.7963,45.483,6.6858,41.062,7.6432
46.601,9.5413,42.108,6.6144,45.483,7.4924,41.062,8.4154
47.448,9.5413,42.108,7.4353,46.294,7.4924,41.829,8.4154
48.318,9.5413,42.108,8.2569,47.113,7.4924,42.599,8.4154
49.182,9.5413,42.934,8.2569,47.959,7.4924,43.355,8.4154
50.044,9.5413,43.753,8.2569,48.796,7.4924,44.121,8.4154
50.909,9.5413,44.58,8.2569,49.576,7.4924,44.879,8.4154
51.778,9.5413,45.404,8.2569,50.415,7.4924,45.644,8.4154
52.645,9.5413,46.224,8.2569,51.207,7.4924,46.403,8.4154
53.509,9.5413,47.067,8.2569,52.018,7.4924,47.167,8.4154
54.378,9.5413,47.89,8.2569,52.817,7.4924,47.924,8.4154
55.244,9.5413,48.711,8.2569,53.655,7.4924,48.689,8.4154
56.111,9.5413,49.532,8.2569,54.452,7.4924,49.445,8.4154
56.979,9.5413,50.354,8.2569,55.27,7.4924,50.211,8.4154
57.853,9.5413,51.18,8.2569,56.102,7.4924,50.969,8.4154
58.717,9.5413,52.007,8.2569,56.918,7.4924,51.735,8.4154
59.585,9.5413,52.83,8.2569,57.716,7.4924,52.495,8.4154
60.445,9.5413,53.66,8.2569,58.551,7.4924,53.259,8.4154
61.317,9.5413,54.485,8.2569,59.362,7.4924,54.021,8.4154
62.188,9.5413,55.309,8.257,60.182,7.4924,54.782,8.4154
63.059,9.5414,56.136,8.257,60.981,7.4924,55.542,8.4154
63.913,9.5414,56.955,8.257,61.789,7.4924,56.308,8.4154
64.763,9.5414,57.786,8.257,62.572,7.4924,57.071,8.4154
65.629,9.5414,58.611,8.257,63.372,7.4924,57.83,8.4154
66.491,9.5414,59.441,8.257,64.176,7.4924,58.588,8.4154
67.36,9.5414,60.269,8.257,64.984,7.4924,59.352,8.4154
68.222,9.5414,61.083,8.257,65.793,7.4924,60.114,8.4154
69.089,9.5414,61.905,8.257,66.602,7.4924,60.877,8.4154
69.953,9.5414,62.735,8.257,67.417,7.4924,61.641,8.4154
70.831,9.5414,63.563,8.257,68.278,7.4925,62.407,8.4154
71.696,9.5414,64.388,8.257,69.081,7.4925,63.163,8.4154
72.563,9.5414,65.217,8.257,69.91,7.4925,63.93,8.4154
73.422,9.5414,66.037,8.257,70.711,7.4925,64.692,8.4154
74.291,9.5414,66.865,8.257,71.525,7.4925,65.457,8.4155
75.156,9.5414,67.691,8.257,72.306,7.4925,66.223,8.4155
76.025,9.5414,68.51,8.257,73.128,7.4925,66.987,8.4155
76.889,9.5414,69.354,8.257,73.93,7.4925,67.745,8.4155
77.759,9.5414,70.179,8.257,74.77,7.4925,68.511,8.4155
78.624,9.5414,71.003,8.257,75.583,7.4925,69.268,8.4155
79.491,9.5414,71.827,8.257,76.421,7.4925,70.036,8.4155
80.356,9.5414,72.654,8.257,77.218,7.4925,70.793,8.4155
81.223,9.5414,73.481,8.257,78.043,7.4925,71.56,8.4155
82.087,9.5414,74.306,8.257,78.841,7.4925,72.321,8.4155
82.948,9.5414,75.125,8.257,79.65,7.4925,73.085,8.4155
83.818,9.5414,75.949,8.257,80.45,7.4925,73.845,8.4155
84.699,9.5414,76.771,8.257,81.269,7.4925,74.606,8.4155
85.542,9.5414,77.585,8.257,82.121,7.4925,75.365,8.4155
86.41,9.5414,78.414,8.257,82.936,7.4925,76.131,8.4155
86.41,10.411,79.225,8.257,83.763,7.4925,76.888,8.4155
86.41,11.283,80.067,8.257,84.573,7.4925,77.654,8.4155
86.41,12.153,80.886,8.257,85.41,7.4925,78.42,8.4155
86.41,13.024,81.723,8.257,86.176,7.4925,79.184,8.4155
86.41,13.879,82.541,8.2571,87.04,7.4925,79.947,8.4155
86.41,14.749,83.382,8.2571,87.85,7.4925,80.712,8.4155
86.41,15.615,84.202,8.2571,88.742,7.4925,81.471,8.4155
86.41,16.492,84.202,9.0747,88.742,8.3033,82.237,8.4155
86.41,17.359,84.202,9.9218,88.742,9.1779,82.994,8.4155
86.41,18.225,84.202,10.739,88.742,9.978,83.759,8.4155
86.41,19.089,84.202,11.575,88.742,10.855,84.514,8.4155
86.41,19.95,84.202,12.378,88.742,11.622,85.263,8.4155
86.41,20.814,84.202,13.203,88.742,12.489,86.03,8.4155
86.41,21.682,84.202,14.044,88.742,13.272,86.03,9.179
86.41,22.554,84.202,14.863,88.742,14.15,86.03,9.9455
86.41,23.416,84.202,15.696,88.742,14.961,86.03,10.709
86.41,24.282,84.202,16.519,88.742,15.831,86.03,11.473
86.41,25.151,84.202,17.344,88.741,16.645,86.03,12.239
86.41,26.015,84.202,18.18,88.741,17.517,86.03,13.004
86.41,26.885,84.202,19.011,88.741,18.333,86.03,13.77
86.41,27.746,84.202,19.832,88.741,19.22,86.03,14.536
86.41,28.617,84.202,20.661,88.741,20.035,86.03,15.299
86.41,29.491,84.202,21.481,88.741,20.9,86.03,16.068
86.41,30.351,84.202,22.306,88.741,21.711,86.03,16.831
86.41,31.222,84.202,23.128,88.741,22.541,86.03,17.6
86.41,32.086,84.202,23.96,88.741,23.366,86.03,18.364
86.41,32.956,84.202,24.78,88.741,24.251,86.03,19.128
86.41,33.826,84.202,25.609,88.741,25.087,86.03,19.895
86.41,34.694,84.202,26.426,88.741,25.964,86.03,20.663
86.41,35.571,84.202,27.258,88.741,26.763,86.03,21.432
86.41,36.435,84.202,28.078,88.741,27.637,86.03,22.194
86.41,37.309,84.202,28.906,88.741,28.571,86.03,22.962
86.41,38.173,84.202,29.727,88.741,29.518,86.03,23.728
86.41,39.034,84.202,30.557,88.741,30.488,86.03,24.491
86.41,39.901,84.202,31.376,88.741,31.44,86.03,25.262
86.41,40.767,84.202,32.206,88.741,32.279,86.03,26.027
86.41,41.634,84.202,33.028,88.741,33.146,86.03,26.794
86.41,42.503,84.202,33.858,88.741,33.994,86.03,27.559
86.41,43.375,84.202,34.68,88.741,34.864,86.03,28.329
86.41,44.238,84.202,35.51,88.741,35.682,86.03,29.103
